
3605640,[HP]不完美关系,醋溜团子,2779,247,699,136,衍生-纯爱-近代现代-西方衍生,主受,0,,0,4906918,2018-07-08 10:30:00,144039
3605660,重生后才知道我是仙女,小刘姑娘,302,0,0,0,原创-言情-幻想未来-爱情,女主,0,,0,40816,Error,2562
3605668,怎么又重生了（穿书）,南楼小主,1953,120,298,75,原创-言情-架空历史-爱情,女主,1,,1,8896027,2019-01-18 23:00:02,120535
3605676,甜言蜜语,明月上枝头,286,5,14,0,原创-纯爱-架空历史-爱情,主受,0,,0,90910,2018-06-03 01:15:53,9643
3605684,大触的诞生,萌兰小团子,106,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,27168,2018-06-03 14:11:17,2608
3605704,渡,孔明与灯,,0,1,43,原创-纯爱-架空历史-爱情,不明,0,,0,19024,Error,0
3605720,《仍然爱你》番外,北瓜热面,284,3,5,1,随笔,,0,,0,177445,2018-06-03 00:35:48,13393
3605736,挽仙来,露华浓香,90,1,2,0,原创-言情-架空历史-仙侠,女主,0,,0,31414,2018-06-03 00:55:30,1972
3605748,相思门,毘九,6,2,1,0,原创-言情-架空历史-爱情,女主,0,,0,116432,2018-06-03 01:01:37,25604
3605752,［全职］我要吹爆那个叫叶不羞的,天街小巷,,0,2,0,衍生-无CP-近代现代-东方衍生,女主,0,,0,34440,Error,0
3605768,想和你一起踏雪,请你踏雪,183,0,6,0,衍生-言情-架空历史-东方衍生,女主,0,,0,37554,2018-06-03 02:41:32,2490
3605772,好一粒暴躁情种,丧丧又浪浪,69474,6077,20699,17584,原创-言情-近代现代-爱情,女主,1,,1,246079392,2018-06-03 01:38:15,477212
3605776,玉烛寺佳人录,乌鞘,2369,382,955,347,原创-言情-架空历史-传奇,女主,1,,1,39499664,2018-07-20 20:33:33,231229
3605780,同人写手的日常,狐娅,355,2,2,0,原创-无CP-近代现代-轻小说,女主,-1,,0,51673,Error,2420
3605784,孤为榭树,小仙女撒花,,0,0,0,原创-言情-近代现代-爱情,女主,0,,0,16400,Error,0
3605800,末日异能者,红颜枯骨冢,878,108,181,6,原创-言情-近代现代-科幻,女主,1,,1,15555225,2018-06-03 05:11:42,451864
3605804,时隔三年,鱼木樨,936,0,11,0,原创-言情-近代现代-爱情,女主,1,,1,1862959,2018-06-03 02:57:43,4578
3605808,欢乐颂，情寄安迪,温心安,10891,63,809,83,衍生-百合-近代现代-东方衍生,主攻,0,,0,3480890,2018-06-03 03:42:28,96697
3605820,[综英美]不和爷爷辈的人谈恋爱,这篮子有洞,,0,132,0,衍生-言情-近代现代-其他衍生,女主,0,,1,1200331,Error,0
3605832,书穿之壮士，你脑子里有灯泡！,南柯郡主,,0,1,0,原创-言情-架空历史-爱情,女主,0,,1,219300,Error,0
3605868,随笔记,小桃微醺,122,0,1,0,随笔,,0,,0,19101,2018-06-03 12:00:00,183
3605884,于曼的苦逼学院生活,寂辛,239,0,0,0,原创-纯爱-近代现代-奇幻,主攻,0,,0,56659,2018-06-06 22:05:36,5740
3605888,天平,比岸花,347,0,0,0,原创-言情-近代现代-悬疑,不明,0,,0,87415,Error,6120
3605892,我真的没想重生,布谷鸟不咕不咕,1131,0,1,0,原创-纯爱-近代现代-爱情,主受,0,,0,31098,Error,1307
3605896,追妻[快穿],黍宁,,4,4068,200,原创-言情-架空历史-爱情,男主,0,,1,363465760,Error,0
3605900,我的所思所想,纯情小宝,96,2,4,0,随笔,,0,,0,96962,2018-06-03 10:32:55,2621
3605904,终极背锅侠的前世今生,幽幽楠杉,167,69,50,10,原创-纯爱-架空历史-奇幻,主攻,0,,0,1300092,2018-06-04 11:49:59,90345
3605912,少时年华,煎宁,108,0,2,0,原创-言情-近代现代-爱情,女主,0,,0,180393,2018-06-03 11:00:13,42998
3605916,（查理九世BG）舛,青橘短衫,1848,5,48,0,衍生-言情-架空历史-东方衍生,不明,1,,0,258057,2018-06-03 15:43:32,17967
3605920,蒂亚大陆,飘摇的芦苇,120,0,5,0,原创-言情-幻想未来-爱情,女主,0,,0,1166170,2018-06-03 11:12:13,114273
3605924,青灯债（重生）,一尽寒宵,4440,80,968,234,原创-纯爱-架空历史-爱情,主受,1,,1,12676285,2018-06-03 11:16:46,170295
3605928,炮灰女配有钱超任性[穿书],雩玖,12649,138,2072,358,原创-言情-近代现代-爱情,女主,1,,1,50043400,2019-01-31 00:00:01,293971
3605948,白袍下的诱惑,黎小白的天,322,0,0,0,原创-纯爱-近代现代-爱情,不明,0,,0,39606,2018-06-14 12:00:00,5463
3605968,上将征婚指南[星际],壬雪晓风,9598,352,2000,335,原创-纯爱-幻想未来-爱情,主受,1,,1,45996088,2019-02-25 21:00:01,294049
3605972,悲情皇子逆袭记,缘来妙不可言,9,0,1,0,原创-纯爱-架空历史-爱情,主受,0,,0,21202,2018-06-15 19:15:43,825
