book_id,book_name,author,NonVIP_average_click,reviews_num,collected_num,nutrient_num,credits

113782,婆娑（GL）,暮成雪,28579,2946,6242,475,
113783,最后的童话,孤*,509,18,0,0,
113784,梧桐雨,小翎子,247,0,0,0,
113786,我拿什么来爱你,黑玻璃,234,1,2,0,
113788,天上的秋千不寂寞,北方之北,227,0,0,0,
113789,珠联壁合,韩静珠,292,1,5,0,
113790,剑歌易水湄（逆水寒续）,击筑饮美酒,1586,165,52,0,
113791,姐姐，请说你爱我,曳曳,1483,11,4,0,
113793,"没有我,你更好了吗?",温柔的蝎子,1245,7,16,0,
113794,拜金女古代行骗记,纯粹小三,531,3,2,0,
