total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
12,69.0,80399,0,"['军事', '抗战烽火']",0,0,0,1,80000,10
6751,152.0,1245100,299,"['都市', '异术超能']",0,1,3,1,1250000,174
22,15.0,38200,0,"['仙侠奇缘', '仙侣奇缘']",0,0,0,2,46000,168
10,11.0,42600,0,"['玄幻', '异世大陆']",0,0,0,3,63000,17
20,56.0,68200,0,"['现实', '人间百态']",0,0,0,1,68000,7
84,61.0,187399,0,"['轻小说', '原生幻想', '轻小说']",1,0,1,3,1150000,241
168,76.0,126300,0,"['科幻', '进化变异']",0,0,0,1,130000,36
5299,67.0,180000,0,"['悬疑', '诡秘悬疑']",0,1,3,2,1430000,359
13,45.0,10100,0,"['科幻', '未来世界']",0,0,0,1,10000,11
11,20.0,6475,0,"['科幻', '末世危机']",1,0,0,4,45000,19
8,8.0,11000,0,"['游戏', '游戏异界']",0,0,0,1,11000,8
9,127.0,19800,0,"['都市', '异术超能']",0,0,0,1,20000,11
36,30.0,66200,0,"['古代言情', '古代情缘']",0,0,0,1,66000,78
7,62.0,271000,0,"['游戏', '电子竞技']",0,1,1,2,340000,74
8,34.0,22599,0,"['都市', '都市生活']",0,0,0,1,23000,13
34,9.0,12500,0,"['玄幻', '东方玄幻']",0,0,0,1,13000,5
2,93.0,382700,0,"['科幻', '末世危机']",1,1,2,4,1720000,343
14,71.0,32599,0,"['短篇', '人物传记']",0,0,0,3,66000,33
48,34.0,18400,0,"['仙侠', '古典仙侠']",0,0,0,2,25000,46
68,22.0,126199,0,"['轻小说', '衍生同人', '轻小说']",1,0,0,2,150000,36
61,152.0,559700,4,"['古代言情', '古典架空']",0,1,1,1,560000,183
6,15.0,5707,0,"['短篇', '短篇小说']",0,0,0,1,5707,3
9,10.0,32000,0,"['玄幻', '东方玄幻']",1,0,0,1,32000,16
7,17.0,2445,0,"['玄幻', '异世大陆']",0,0,0,1,2445,3
0,81.0,1889,0,"['古代言情', '古代情缘']",0,0,0,1,1889,3
17,16.0,18700,0,"['玄幻', '东方玄幻']",0,0,0,1,19000,14
254,60.0,173400,0,"['玄幻', '高武世界']",0,0,0,1,170000,54
7,145.0,14600,0,"['奇幻', '史诗奇幻']",0,0,0,1,15000,7
4,2.0,6699,0,"['玄幻', '高武世界']",1,0,0,1,6699,3
0,10.0,24500,0,"['都市', '都市生活']",0,0,3,3,790000,203
15,11.0,14400,0,"['仙侠', '修真文明']",0,0,1,4,58000,228
18,23.0,18,0,"['仙侠', '修真文明']",0,0,0,1,18,15
10,33.0,3829,0,"['现实', '青年故事']",0,0,0,1,3829,3
25,30.0,34200,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,1,34000,59
87,34.0,129400,0,"['玄幻', '异世大陆']",1,0,0,1,130000,35
2434,152.0,603700,102,"['仙侠', '修真文明']",0,1,1,1,600000,287
2,0.0,1014,0,"['都市', '都市生活']",1,0,0,1,1014,1
6,147.0,6858,0,"['短篇', '生活随笔']",0,0,0,1,6858,9
53,29.0,20299,0,"['武侠', '传统武侠']",0,0,0,2,200000,61
175,31.0,80800,0,"['历史', '秦汉三国']",1,0,0,2,130000,44
49,32.0,111100,0,"['仙侠', '修真文明']",0,0,0,2,120000,55
2,11.0,1008,0,"['玄幻', '异世大陆']",0,0,0,2,2504,4
39,14.0,2041,0,"['古代言情', '宫闱宅斗']",0,0,0,1,2041,15
25,13.0,31800,0,"['玄幻', '异世大陆']",1,0,0,1,32000,19
21,21.0,28100,0,"['古代言情', '古代情缘']",0,0,0,1,28000,25
15,21.0,48400,0,"['悬疑', '诡秘悬疑']",0,0,0,1,48000,11
54,33.0,60199,0,"['科幻', '末世危机']",0,0,0,1,60000,17
2,113.0,1258,0,"['浪漫青春', '青春校园']",0,0,0,1,1258,1
15,26.0,24200,0,"['历史', '两宋元明']",0,0,0,3,61000,13
29,115.0,64300,0,"['玄幻', '异世大陆']",0,0,0,1,64000,25
9,81.0,6259,0,"['玄幻', '异世大陆']",0,0,0,1,6259,3
17,51.0,76400,0,"['悬疑', '诡秘悬疑']",0,0,0,1,76000,36
17,51.0,76400,0,"['悬疑', '诡秘悬疑']",0,0,0,1,76000,36
26,10.0,23100,0,"['都市', '都市生活']",1,0,1,4,280000,116
4,16.0,1964,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,3,19000,28
